python main_coco2.py --lr 0.003 --lmbd1 100000 --lmbd2 10 --anneal 100
train environment:  43
['/coyote', '/raccoon']
class_indices:  [(0, '/coyote'), (1, '/raccoon')]
train environment:  46
['/coyote', '/raccoon']
class_indices:  [(0, '/coyote'), (1, '/raccoon')]
['/coyote', '/raccoon']

working with 2 training environments: 
env['images']:  858
env['labels']:  858
class distribution:  582 coyotes and 276 raccoons. baseline accuracy 0.68 (always coyote).
env['images']:  753
env['labels']:  753
class distribution:  512 coyotes and 241 raccoons. baseline accuracy 0.68 (always coyote).
x_test:  522
y_test:  522
test class distribution:  144 coyotes and 378 raccoons. baseline accuracy 0.28 (always coyote).
Using GPU - True

========================================COCO========================================
{'n_restarts': 1, 'steps': 2001, 'n_classes': 2, 'fc_only': True, 'model_path': './models/', 'transform': {'train': Compose(
    CenterCrop(size=(224, 224))
    ToTensor()
    Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])
), 'test': Compose(
    CenterCrop(size=(224, 224))
    ToTensor()
    Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])
)}, 'loader_tr_args': {'batch_size': 100, 'num_workers': 1}, 'loader_te_args': {'batch_size': 100, 'num_workers': 1}, 'loader_sample_args': {'batch_size': 100, 'num_workers': 1}}
step            loss            train nll       train acc       dir_w           inv_w           test nll        test acc        test prec       test rec     
0               0.69644         0.69640         0.47178         1.46467e-06     3.86227e-05     0.76305         0.26364         0.00000         0.00000      
10              0.60725         0.60694         0.67465         5.11021e-07     0.00032         0.85919         0.28727         0.00000         0.00000      
20              0.54976         0.52719         0.67721         1.83203e-06     0.02256         0.70917         0.29318         0.00000         0.00000      
30              0.50034         0.46748         0.84866         2.08159e-06     0.03286         0.66494         0.45561         0.78857         0.36508      
40              0.46031         0.42741         0.85565         2.24012e-06     0.03290         0.60293         0.72621         0.84058         0.76720      
50              0.42523         0.39309         0.86616         2.22138e-06     0.03214         0.63895         0.57015         0.82203         0.51323      
60              0.39724         0.36874         0.86669         2.17124e-06     0.02850         0.66701         0.51909         0.81731         0.44974      
70              0.36803         0.34022         0.87787         2.09632e-06     0.02780         0.74732         0.46576         0.80864         0.34656      
80              0.34431         0.31740         0.89048         1.97992e-06     0.02691         0.80600         0.44258         0.80620         0.27513      
90              0.32230         0.29739         0.89489         1.93599e-06     0.02491         0.87358         0.40818         0.81651         0.23545      
100             1986.25037      0.28122         0.89832         0.17861         1985.79053      0.60598         0.65621         0.82712         0.64550      
110             290.25369       0.36435         0.84921         0.40300         289.48633       0.38937         0.88167         0.84340         0.99735      
120             102.83337       0.33277         0.86308         0.33363         102.16698       0.42023         0.86076         0.84651         0.96296      
130             81.60031        0.31641         0.87100         0.32390         80.96000        0.47411         0.80288         0.85213         0.89947      
140             7.61791         0.31102         0.87173         0.31670         6.99019         0.51243         0.75015         0.84392         0.84392      
150             12.63920        0.31049         0.87316         0.31678         12.01193        0.46062         0.79561         0.84635         0.85979      
160             4.29819         0.30988         0.87249         0.31302         3.67529         0.48992         0.76955         0.84433         0.84656      
170             12.07972        0.30669         0.87198         0.31097         11.46207        0.50298         0.76970         0.84140         0.82804      
180             0.94158         0.30681         0.87091         0.30293         0.33184         0.49341         0.77727         0.84182         0.83069      
190             8.06528         0.30381         0.87361         0.27691         7.48456         0.51966         0.76894         0.84153         0.81481      
200             2.84496         0.30440         0.87489         0.30681         2.23375         0.52544         0.74530         0.84153         0.81481      
210             9.24066         0.30035         0.87647         0.29724         8.64307         0.51603         0.75712         0.84153         0.81481      
220             11.47120        0.30078         0.87627         0.30094         10.86948        0.48682         0.76879         0.84267         0.83598      
230             6.35079         0.30860         0.86915         0.31204         5.73016         0.49221         0.76970         0.84140         0.82804      
240             1.57923         0.30386         0.87276         0.30497         0.97040         0.50020         0.76530         0.84474         0.84921      
250             5.18167         0.29899         0.87391         0.29752         4.58516         0.47786         0.77970         0.84392         0.84392      
260             2.77801         0.30409         0.86961         0.30243         2.17149         0.50304         0.76727         0.84110         0.81217      
270             5.40707         0.30091         0.87255         0.30426         4.80190         0.49663         0.76970         0.84140         0.82804      
280             1.54703         0.30239         0.87122         0.30362         0.94102         0.48500         0.77894         0.84225         0.83333      
290             7.02891         0.30125         0.87253         0.30938         6.41827         0.46911         0.79879         0.84987         0.88360      
300             21.37825        0.30449         0.87030         0.30817         20.76559        0.46307         0.81303         0.85176         0.89683      
310             1.73615         0.30704         0.86572         0.31418         1.11493         0.49543         0.76697         0.84514         0.85185      
